MAE=0.1470012377702923 MSE=0.04218470743098085 accuracy=1.0
predict	real	
3.0759542651143787	3.045	
0.5378676776664775	0.588	
1.244544723491624	1.428	
1.0857011876250446	1.191	
0.9983363293528147	1.137	
1.2777546281409822	1.114	
3.545666017274006	3.618	
1.5091790396666114	1.479	
1.307367696246654	1.342	
1.0940186504653835	1.141	
0.12061246948940707	0.346	
0.6770976459626953	0.805	
1.3802926666365665	1.225	
0.9316552913091223	0.824	
0.3746683744463499	0.311	
1.8991157490101902	1.708	
2.2981181407194304	2.246	
0.8732638839194833	1.157	
0.6079927192441129	0.747	
1.89148486175133	1.904	
3.2652632636154637	3.204	
0.16410406574234204	0.03	
1.4491347338180072	1.586	
0.4418268842761204	0.422	
2.019427742994201	2.144	
0.8055094343127915	0.896	
2.3306670249045345	2.374	
0.10750874036377	-0.355	
1.4871290263216879	1.449	
0.524645939587792	0.352	
1.8515225292627218	1.75	
-0.20965912338382453	-0.058	
0.2845386711372899	0.251	
2.849455836482806	2.945	
-0.02023379504162426	0.167	
3.335242005015971	3.453	
2.852411556682613	2.661	
1.8501272718059694	1.844	
1.192580050585967	1.245	
2.9224835552350834	2.819	
-0.4257278509229039	-0.296	
1.202487633634877	1.164	
-0.9261662642621575	-1.289	
1.6920130080757412	1.611	
2.1902098673841133	2.196	
3.1472584177472007	3.511	
0.8978269842307607	0.788	
-0.14349438205968323	-0.175	
1.6797626422902834	1.781	
0.38934195242994807	0.617	
1.5685100974218797	1.717	
2.676406802263829	2.605	
-0.28586410847153276	-0.197	
2.283988607082075	2.453	
-0.49093622324173736	-0.151	
-1.1451361106633653	-1.821	
0.7546128215558436	0.684	
0.6540997316517807	0.767	
1.6495171735188594	1.789	
2.336388967254556	2.33	
1.417912456779472	1.445	
1.358879625007434	1.266	
1.2644601349878344	1.233	
2.614250306482838	2.61	
2.1578984386181994	2.431	
2.1780582188843867	2.402	
-0.15036798983674804	-0.228	
-0.547334089888962	-0.552	
3.2727255269644453	2.946	
1.5106581077607113	1.253	
1.4124529874084497	1.222	
0.9938778522927159	1.016	
-0.6855636577914124	-0.662	
0.44422395547984983	0.686	
0.9518039097089348	1.001	
1.8999377649009719	2.068	
2.245843726021868	2.072	
1.6280764362067854	1.514	
4.26648171105272	4.434	
2.940438093775933	3.043	
2.2045868586326054	2.312	
