0.705	0.804	0.183	0.122
0.588	-0.46	-0.098	-0.506
-0.418	-0.159	0.191	-0.188
0.214	0.537	0.721	-0.315
-0.156	0.334	-0.007	0.473
0.118	-0.85	0.389	0.148
0.958	0.564	-0.409	-0.852
0.115	-0.218	-0.392	-0.324
-0.178	0.917	0.357	0.744
0.693	0	-0.142	0.56
-0.056	0.217	-0.563	0.815
0.117	0.012	0.309	-0.807
0.512	0.488	0.998	-0.413
-0.529	0.82	0.698	0.591
0.235	-0.284	0.599	-0.658
-0.786	0.207	0.471	0.951
-0.69	-0.797	-0.352	0.999
0.351	0.269	0.339	-0.629
-0.202	0.813	-0.093	0.324
-0.762	-0.496	0.47	-0.564
-0.9	-0.754	-0.197	0.335
0.696	-0.167	0.856	-0.538
0.316	0.599	-0.151	0.934
-0.079	-0.081	0.453	-0.99
-0.621	-0.172	0.273	0.958
-0.15	0.927	0.088	0.074
-0.586	-0.129	0.599	0.707
-0.994	0.856	0.562	0.799
-0.749	-0.027	0.964	0.046
0.157	0.018	0.934	-0.512
-0.729	-0.64	-0.883	0.538
0.925	-0.275	0.359	-0.828
0.805	-0.382	0.902	-0.07
-0.283	-0.926	-0.759	-0.566
0.874	-0.375	-0.235	0.319
0.801	0.884	0.083	0.174
-0.757	-0.555	0.813	0.062
-0.508	-0.363	0.037	-0.125
0.082	-0.328	0.049	0.258
-0.391	-0.745	0.916	0.352
0.868	-0.566	0.063	-0.966
0.117	0.469	0.176	-0.853
0.959	-0.838	-0.585	0.152
-0.56	-0.185	-0.798	0
0.28	0.546	-0.989	-0.221
0.75	0.424	0.703	0.894
0.452	-0.374	-0.146	0.015
-0.5	0.942	0.963	-0.032
0.289	0.414	-0.109	-0.56
-0.694	0.231	0.32	-0.315
-0.959	-0.699	0.991	-0.804
0.498	0.875	-0.005	0.274
-0.367	0.635	0.676	-0.59
-0.008	0.047	-0.88	-0.656
-0.602	0.73	0.174	-0.38
-0.903	0.821	-0.934	0.48
-0.269	-0.519	-0.729	0.71
-0.416	0.061	-0.443	0.516
-0.146	-0.341	0.696	0.244
0.345	0.41	-0.376	-0.806
0.136	-0.274	-0.226	-0.569
0.096	-0.761	-0.434	-0.213
0.034	-0.083	0.834	-0.035
-0.552	-0.737	-0.058	-0.772
0.543	0.906	0.522	-0.33
-0.529	-0.854	-0.43	0.295
0.562	-0.457	0.809	-0.468
0.681	-0.891	-0.723	0.022
-0.57	-0.627	0.657	0.437
0.388	0.231	0.946	-0.167
0.397	-0.88	0.552	0.879
0.553	-0.242	-0.362	-0.162
0.943	-0.617	0.597	-0.181
-0.048	0.156	-0.516	0.573
-0.558	0.536	0.349	0.857
0.472	0.902	0.493	-0.516
-0.255	0.321	-0.935	-0.544
-0.118	0.28	0.236	0.663
-0.919	-0.803	0.713	0.645
-0.223	-0.943	-0.778	-0.715
0.64	0.784	-0.276	0.894
0.674	0.006	-0.181	0.269
0.126	0.478	0.958	-0.55
-0.788	-0.452	-0.659	0.866
-0.911	-0.585	-0.76	-0.808
0.052	0.805	0.5	0.434
0.884	0.933	-0.392	0.086
-0.794	-0.473	0.446	0.582
0.193	0.183	-0.28	-0.975
0.443	-0.771	0.375	0.537
0.003	-0.837	-0.153	-0.131
-0.142	0.722	-0.345	-0.054
-0.542	-0.534	-0.892	0.634
-0.819	-0.087	-0.013	-0.329
0.634	0.643	0.968	0.032
0.327	-0.505	-0.69	0.895
0.212	-0.419	-0.341	-0.627
-0.771	-0.563	0.688	0.738
-0.333	0.734	0.755	0.107
