-0.518	0.401	0.163	-0.917	0.378
-0.073	0.02	-0.286	-0.841	1.777
0.613	0.521	-0.344	-0.599	2.67
0.24	0.529	0.082	0.863	1.822
-0.011	0.126	-0.469	0.475	0.85
0.201	0.967	-0.692	0.108	1.734
-0.447	-0.019	0.744	-0.038	1.269
0.784	0.971	-0.225	-0.318	3.727
-0.428	-0.585	-0.774	0.212	1.723
-0.363	-0.333	-0.105	-0.128	1.69
0.693	-0.585	0.799	0.227	0.447
0.538	-0.352	0.713	-0.417	0.137
-0.31	0.471	-0.256	0.989	0.356
0.652	-0.613	0.407	-0.157	-0.027
-0.368	0.483	-0.973	0.244	0.292
0.511	0.587	0.605	0.483	2.784
-0.486	0.049	0.628	-0.722	0.322
0.905	-0.224	0.984	0.149	0.985
-0.11	0.599	-0.967	0.52	0.097
-0.196	-0.767	0.485	-0.671	1.1
0.113	0.97	0.751	-0.69	0.592
-0.717	-0.97	-0.773	-0.803	4.628
-0.142	-0.295	-0.563	-0.704	2.218
0.993	-0.986	0.168	-0.222	-1.712
0.24	0.262	-0.027	0.158	1.48
0.59	0.425	-0.344	0.966	1.388
-0.029	0.395	0.634	-0.298	0.888
0.719	-0.381	-0.4	0.892	-0.235
-0.171	-0.19	-0.988	-0.76	2.899
-0.386	-0.257	0.716	0.703	2.604
0.674	-0.706	0.851	0.704	1.071
0.192	-0.016	-0.884	-0.236	1.708
-0.689	-0.286	0.237	-0.597	1.608
-0.641	0.066	0.188	0.68	1.429
-0.104	0.839	0.505	-0.67	0.362
-0.287	0.892	0.592	-0.122	0.388
-0.717	0.765	-0.461	0.189	-0.52
-0.724	0.467	-0.443	-0.51	0.738
0.988	-0.054	-0.244	0.885	0.708
0.832	-0.25	-0.034	-0.264	0.694
0.724	-0.496	-0.461	-0.218	0.424
-0.148	0.431	0.561	-0.257	0.82
-0.574	0.3	0.318	0.758	1.265
-0.352	-0.408	-0.578	0.048	1.675
-0.655	0.206	-0.398	0.422	0.559
0.213	0.661	-0.855	-0.585	2.723
0.931	-0.264	-0.935	0	0.563
-0.299	-0.713	0.75	0.27	2.345
-0.272	0.219	0.054	0.051	1.127
0.675	-0.963	-0.181	0.795	-0.938
-0.926	0.67	0.489	0.143	-0.421
-0.922	-0.752	-0.333	-0.336	3.604
0.795	-0.252	0.322	0.005	0.702
0.714	0.963	-0.549	0.102	3.251
-0.078	0.505	-0.726	0.443	0.539
0.323	0.538	0.684	-0.343	1.352
0.262	-0.036	0.476	-0.606	0.695
0.993	-0.564	0.32	0.044	-0.352
-0.728	-0.231	-0.626	-0.082	1.907
-0.193	0.177	0.519	-0.37	0.813
0.784	-0.207	0.193	0.266	0.916
-0.25	-0.615	0.165	-0.885	1.469
-0.504	-0.164	-0.174	-0.032	1.559
-0.948	-0.367	0.09	0.826	2.492
-0.764	0.543	-0.857	0.096	-0.109
0.01	-0.013	0.981	0.04	1.378
0.902	0.163	-0.889	0.823	0.278
0.551	-0.815	0.511	0.879	0.851
-0.755	0.704	0.219	0.625	-0.021
-0.032	0.953	0.435	0.365	1.526
0.592	-0.292	0.472	0.468	1.223
0.725	0.48	-0.792	-0.611	3.312
0.208	0.316	0.215	-0.515	1.276
-0.986	0.275	0.08	0.94	0.637
0.171	-0.852	-0.091	0.817	0.714
0.274	-0.953	0.224	-0.605	0.246
-0.794	0.082	-0.739	0.171	0.852
-0.932	-0.525	0.759	0.992	4.274
-0.605	-0.362	0.082	0.598	2.055
0.65	0.98	0.631	-0.879	2.102
0.642	0.211	0.798	0.656	2.753
0.875	-0.74	0.095	0.022	-0.638
0.735	0.347	-0.536	-0.246	2.329
-0.855	0.795	-0.892	0.534	-1.692
-0.753	-0.408	-0.976	0.435	1.373
0.345	0.754	0.276	-0.48	1.815
-0.999	-0.738	-0.184	0.61	3.287
-0.633	-0.822	-0.864	0.767	1.536
-0.85	-0.234	-0.618	-0.506	2.522
0.005	0.669	0.778	-0.409	0.674
-0.671	-0.722	-0.309	-0.439	3.025
-0.402	0.788	0.039	-0.429	0.316
0.921	0.81	0.859	-0.12	3.332
-0.585	0.284	0.429	0.791	1.48
-0.813	0.127	0.569	0.599	1.672
-0.457	-0.648	-0.509	-0.603	2.802
-0.697	0.212	-0.98	0.3	0.269
-0.742	0.712	-0.839	-0.091	-0.132
0.331	0.028	0.254	-0.304	1.173
-0.641	0.91	0.269	0.454	-0.206
0.013	-0.671	0.997	0.344	1.96
0.612	0.597	-0.61	0.655	1.597
0.508	0.864	0.411	-0.447	2.249
-0.604	0.611	0.177	-0.907	-0.128
0.703	-0.75	0.271	-0.01	-0.287
-0.414	-0.884	0.522	-0.841	1.52
0.401	0.265	-0.267	-0.737	2.012
-0.834	0.399	0.764	-0.908	-1.086
0.85	-0.837	0.997	0.046	-0.743
0.222	0.177	-0.658	0.769	0.406
0.153	0.017	0.553	-0.268	1.011
-0.954	0.44	0.29	-0.826	-0.438
0.248	-0.897	-0.832	0.402	-0.036
0.81	0.713	-0.653	0.853	1.919
0.038	-0.04	-0.645	0.59	0.534
-0.88	0.865	0.215	-0.259	-1.095
0.721	-0.409	0.862	0.942	2.039
0.388	-0.307	-0.803	-0.124	1.142
